REF_DATE,Airlines,passengers,pax_km,seat_km,load_factor_pct,fuel_litres,hours_flown,cargo_kg,cargo_tkm
2011-12-01,Air Canada,1932000.0,6315256000.0,7669974000.0,82.3,281376000.0,66000.0,21830000.0,136254000.0
2011-12-01,WestJet,1397000.0,2464359000.0,3046801000.0,80.9,91241000.0,35000.0,362000.0,834000.0
2012-01-01,Air Canada,1967000.0,6480059000.0,8058232000.0,80.4,295972000.0,71000.0,19009000.0,118383000.0
2012-01-01,WestJet,1370000.0,2465077000.0,3087028000.0,79.9,93604000.0,35000.0,310000.0,682000.0
2012-02-01,Air Canada,1880000.0,5853020000.0,7541489000.0,77.6,276684000.0,67000.0,20182000.0,126028000.0
2012-02-01,WestJet,1349000.0,2410456000.0,2913600000.0,82.7,87946000.0,33000.0,311000.0,762000.0
2012-03-01,Air Canada,2106000.0,6851452000.0,8289158000.0,82.7,298884000.0,72000.0,24118000.0,152813000.0
2012-03-01,WestJet,1511000.0,2720744000.0,3154725000.0,86.2,94894000.0,35000.0,354000.0,857000.0
2012-04-01,Air Canada,1983000.0,6459577000.0,7644934000.0,84.5,278307000.0,65000.0,19467000.0,124088000.0
2012-04-01,WestJet,1476000.0,2595920000.0,3013156000.0,86.2,90158000.0,34000.0,345000.0,848000.0
2012-05-01,Air Canada,1969000.0,6711745000.0,8038442000.0,83.5,291812000.0,68000.0,19720000.0,125075000.0
2012-05-01,WestJet,1395000.0,2246853000.0,2837356000.0,79.2,87244000.0,32000.0,347000.0,948000.0
2012-06-01,Air Canada,2123000.0,7430896000.0,8527946000.0,87.1,307003000.0,71000.0,20787000.0,131597000.0
2012-06-01,WestJet,1388000.0,2222189000.0,2813503000.0,79.0,84808000.0,32000.0,346000.0,1097000.0
2012-07-01,Air Canada,2375000.0,8287718000.0,9477256000.0,87.4,342518000.0,79000.0,21374000.0,135350000.0
2012-07-01,WestJet,1589000.0,2605643000.0,3054233000.0,85.3,93124000.0,35000.0,420000.0,1136000.0
2012-08-01,Air Canada,2487000.0,8541167000.0,9548362000.0,89.5,348110000.0,80000.0,21478000.0,134222000.0
2012-08-01,WestJet,1657000.0,2716741000.0,3055632000.0,88.9,93130000.0,35000.0,424000.0,1112000.0
2012-09-01,Air Canada,2122000.0,7454007000.0,8612488000.0,86.5,304903000.0,71000.0,20431000.0,128538000.0
2012-09-01,WestJet,1358000.0,2159403000.0,2730247000.0,79.1,82191000.0,31000.0,406000.0,967000.0
2012-10-01,Air Canada,1996000.0,6649402000.0,7896668000.0,84.2,290070000.0,66000.0,20569000.0,128830000.0
2012-10-01,WestJet,1435000.0,2250291000.0,2771727000.0,81.2,86127000.0,32000.0,321000.0,988000.0
2012-11-01,Air Canada,1724000.0,5367238000.0,6773323000.0,79.2,248492000.0,59000.0,21022000.0,133826000.0
2012-11-01,WestJet,1387000.0,2332603000.0,2826093000.0,82.5,87332000.0,33000.0,427000.0,1006000.0
2012-12-01,Air Canada,1983000.0,6506583000.0,7802834000.0,83.4,285425000.0,67000.0,22344000.0,143203000.0
2012-12-01,WestJet,1486000.0,2640589000.0,3226372000.0,81.8,98283000.0,37000.0,460000.0,949000.0
2013-01-01,Air Canada,1974000.0,6487723000.0,8005762000.0,81.0,286613000.0,70000.0,17627000.0,114519000.0
2013-01-01,WestJet,1455000.0,2653157000.0,3281683000.0,80.8,99187000.0,37000.0,371000.0,813000.0
2013-02-01,Air Canada,1842000.0,5825310000.0,7219950000.0,80.7,262917000.0,64000.0,18479000.0,117568000.0
2013-02-01,WestJet,1422000.0,2585623000.0,3002412000.0,86.1,89868000.0,33000.0,382000.0,835000.0
2013-03-01,Air Canada,2195000.0,7074736000.0,8342328000.0,84.8,298298000.0,72000.0,22780000.0,144694000.0
2013-03-01,WestJet,1610000.0,2942235000.0,3416613000.0,86.1,101717000.0,38000.0,415000.0,823000.0
2013-04-01,Air Canada,1983000.0,6396272000.0,7679075000.0,83.3,277790000.0,64000.0,19484000.0,125827000.0
2013-04-01,WestJet,1510000.0,2678355000.0,3237862000.0,82.7,95881000.0,36000.0,423000.0,845000.0
2013-05-01,Air Canada,1980000.0,6867678000.0,8253952000.0,83.2,295303000.0,67000.0,19231000.0,123660000.0
2013-05-01,WestJet,1506000.0,2431397000.0,3097423000.0,78.5,91281000.0,35000.0,437000.0,902000.0
2013-06-01,Air Canada,2100000.0,7550290000.0,8738646000.0,86.4,310159000.0,71000.0,20253000.0,130512000.0
2013-06-01,WestJet,1471000.0,2407247000.0,3133500000.0,76.8,91502000.0,35000.0,439000.0,916000.0
2013-07-01,Air Canada,2292000.0,8170858000.0,9404210000.0,86.9,344068000.0,76000.0,20995000.0,136261000.0
2013-07-01,WestJet,1692000.0,2821060000.0,3393566000.0,83.1,100538000.0,38000.0,434000.0,872000.0
2013-08-01,Air Canada,2393000.0,8624397000.0,9489706000.0,90.9,345411000.0,75000.0,20407000.0,132903000.0
2013-08-01,WestJet,1808000.0,3030314000.0,3447800000.0,87.9,102600000.0,38000.0,455000.0,953000.0
2013-09-01,Air Canada,1993000.0,7302075000.0,8625091000.0,84.7,311771000.0,67000.0,21029000.0,136550000.0
2013-09-01,WestJet,1434000.0,2283286000.0,2982035000.0,76.6,88027000.0,34000.0,443000.0,863000.0
2013-10-01,Air Canada,1898000.0,6541077000.0,7930422000.0,82.5,286260000.0,63000.0,21262000.0,137384000.0
2013-10-01,WestJet,1497000.0,2373013000.0,2997400000.0,79.2,88780000.0,34000.0,426000.0,871000.0
2013-11-01,Air Canada,1614000.0,5211101000.0,6763209000.0,77.1,247412000.0,55000.0,22363000.0,143164000.0
2013-11-01,WestJet,1439000.0,2462122000.0,3090300000.0,79.7,91882000.0,36000.0,380000.0,799000.0
2013-12-01,Air Canada,1893000.0,6506668000.0,7753132000.0,83.9,288828000.0,64000.0,22305000.0,141235000.0
2013-12-01,WestJet,1614000.0,2829684000.0,3465582000.0,81.7,103676000.0,40000.0,411000.0,964000.0
2014-01-01,Air Canada,1816000.0,6352876000.0,7836366000.0,81.1,298238000.0,64000.0,19744000.0,126485000.0
2014-01-01,WestJet,1584000.0,2877129000.0,3555519000.0,80.9,107685000.0,41000.0,292000.0,863000.0
2014-02-01,Air Canada,1704000.0,5659046000.0,7147850000.0,79.2,262477000.0,58000.0,19951000.0,124885000.0
2014-02-01,WestJet,1536000.0,2773409000.0,3278406000.0,84.6,98962000.0,37000.0,401000.0,878000.0
2014-03-01,Air Canada,1950000.0,6633685000.0,8069998000.0,82.2,299233000.0,64000.0,23435000.0,148636000.0
2014-03-01,WestJet,1680000.0,3059109000.0,3643356000.0,84.0,108932000.0,41000.0,468000.0,1038000.0
2014-04-01,Air Canada,2073000.0,6965917000.0,8267306000.0,84.3,285603000.0,63000.0,21877000.0,140232000.0
2014-04-01,WestJet,1625000.0,2852716000.0,3465710000.0,82.3,101993000.0,39000.0,502000.0,1147000.0
2014-05-01,Air Canada,2106000.0,7519240000.0,8904447000.0,84.4,305688000.0,66000.0,22497000.0,144749000.0
2014-05-01,WestJet,1583000.0,2546040000.0,3224534000.0,79.0,94931000.0,38000.0,571000.0,1257000.0
2014-06-01,Air Canada,2249000.0,8310533000.0,9579318000.0,86.8,323460000.0,70000.0,20958000.0,137886000.0
2014-06-01,WestJet,1556000.0,2528243000.0,3268683000.0,77.3,95922000.0,38000.0,568000.0,1368000.0
2014-07-01,Air Canada,2574000.0,9452287000.0,10785920000.0,87.6,364937000.0,78000.0,23293000.0,152449000.0
2014-07-01,WestJet,1793000.0,3011801000.0,3616962000.0,83.3,105599000.0,42000.0,597000.0,1462000.0
2014-08-01,Air Canada,2693000.0,9863967000.0,10857780000.0,90.8,366862000.0,79000.0,22765000.0,147007000.0
2014-08-01,WestJet,1934000.0,3253930000.0,3645793000.0,89.3,105739000.0,42000.0,597000.0,1469000.0
2014-09-01,Air Canada,2223000.0,8209270000.0,9556201000.0,85.9,325359000.0,69000.0,21630000.0,138508000.0
2014-09-01,WestJet,1513000.0,2418895000.0,3187797000.0,75.9,93983000.0,38000.0,631000.0,1374000.0
2014-10-01,Air Canada,2123000.0,7399352000.0,8932883000.0,82.8,301257000.0,65000.0,25034000.0,163329000.0
2014-10-01,WestJet,1587000.0,2531031000.0,3270973000.0,77.4,96412000.0,39000.0,677000.0,1518000.0
2014-11-01,Air Canada,1795000.0,5871947000.0,7488904000.0,78.4,252766000.0,56000.0,23516000.0,147313000.0
2014-11-01,WestJet,1549000.0,2664890000.0,3309317000.0,80.5,96469000.0,39000.0,584000.0,1397000.0
2014-12-01,Air Canada,2165000.0,7355566000.0,8791764000.0,83.7,307265000.0,66000.0,23644000.0,144319000.0
2014-12-01,WestJet,1687000.0,2977026000.0,3679665000.0,80.9,107374000.0,42000.0,616000.0,1538000.0
2015-01-01,Air Canada,2139000.0,7285212000.0,8961835000.0,81.3,306624000.0,68000.0,20445000.0,124179000.0
2015-01-01,WestJet,1618000.0,2984054000.0,3752739000.0,79.5,109972000.0,43000.0,573000.0,1427000.0
2015-02-01,Air Canada,2046000.0,6736545000.0,8226991000.0,81.9,280362000.0,63000.0,22085000.0,133188000.0
2015-02-01,WestJet,1580000.0,2865527000.0,3399455000.0,84.3,101343000.0,39000.0,572000.0,1485000.0
2015-03-01,Air Canada,2437000.0,8120040000.0,9666013000.0,84.0,326424000.0,72000.0,26288000.0,158007000.0
2015-03-01,WestJet,1712000.0,3104020000.0,3817374000.0,81.3,111808000.0,43000.0,667000.0,1724000.0
2015-04-01,Air Canada,2249000.0,7525598000.0,8964122000.0,84.0,301753000.0,66000.0,22652000.0,139972000.0
2015-04-01,WestJet,1655000.0,2943558000.0,3669595000.0,80.2,106498000.0,41000.0,707000.0,1734000.0
2015-05-01,Air Canada,2264000.0,8203515000.0,9871291000.0,83.1,325977000.0,70000.0,21715000.0,138390000.0
2015-05-01,WestJet,1649000.0,2717347000.0,3519830000.0,77.2,102129000.0,41000.0,752000.0,1925000.0
2015-06-01,Air Canada,2459000.0,9205156000.0,10674386000.0,86.2,349920000.0,76000.0,21071000.0,136531000.0
2015-06-01,WestJet,1649000.0,2699137000.0,3512704000.0,76.8,102320000.0,41000.0,748000.0,1923000.0
2015-07-01,Air Canada,2819000.0,10503277000.0,11923449000.0,88.1,392763000.0,85000.0,21972000.0,143257000.0
2015-07-01,WestJet,1909000.0,3157108000.0,3813718000.0,82.8,111082000.0,44000.0,698000.0,1721000.0
2015-08-01,Air Canada,2961000.0,10934966000.0,12075021000.0,90.6,398173000.0,86000.0,20680000.0,132665000.0
2015-08-01,WestJet,1977000.0,3305567000.0,3908236000.0,84.6,114912000.0,45000.0,707000.0,1686000.0
2015-09-01,Air Canada,2410000.0,9084422000.0,10746390000.0,84.5,352959000.0,75000.0,21229000.0,137660000.0
2015-09-01,WestJet,1621000.0,2605898000.0,3370658000.0,77.3,100537000.0,40000.0,632000.0,1735000.0
2015-10-01,Air Canada,2284000.0,8144507000.0,9759160000.0,83.5,320426000.0,68000.0,21891000.0,144003000.0
2015-10-01,WestJet,1583000.0,2537356000.0,3291841000.0,77.1,100388000.0,40000.0,718000.0,1819000.0
2015-11-01,Air Canada,1975000.0,6562287000.0,8261231000.0,79.4,273879000.0,58000.0,22822000.0,147763000.0
2015-11-01,WestJet,1522000.0,2581798000.0,3286530000.0,78.6,99763000.0,40000.0,712000.0,1777000.0
2015-12-01,Air Canada,2305000.0,7826248000.0,9480534000.0,82.6,311117000.0,68000.0,23340000.0,149405000.0
2015-12-01,WestJet,1765000.0,3084096000.0,3895020000.0,79.2,117326000.0,46000.0,819000.0,2400000.0
2016-01-01,Air Canada,2248000.0,7830329000.0,9614728000.0,81.4,312162000.0,69000.0,20716000.0,133492000.0
2016-01-01,WestJet,1727000.0,3206296000.0,4006786000.0,80.0,120514000.0,48000.0,722000.0,2135000.0
